"","fips","name","votes","reporting","precincts","results.bidenj","results.klobuchara","results.sandersb","results.bloombergm","results.warrene","results.buttigiegp","results.steyert","results.gabbardt","results.delaneyj","results.patrickd","results.williamsonm","results.yanga","results.bennetm","results.bookerc","results.castroj","results.uncommitted"
"17","27033","Cottonwood",   539, 28, 28,  275,   21,  107,   73,   52,    4,    0,    1,    0,    0,    0,    1,    0,    0,    0,    5
"18","27035","Crow Wing",  5111, 62, 64, 2325,  476, 1139,  576,  438,   89,    3,   17,    1,    0,    3,    9,    4,    0,    1,   30
"19","27037","Dakota", 56595,141,141,24782, 2661,15504, 5128, 7472,  523,   25,  182,    7,    2,   17,  106,   13,   14,   12,  147
"20","27039","Dodge",  1304, 22, 42,  685,   59,  301,  109,  128,    7,    2,    5,    0,    0,    0,    3,    0,    1,    0,    4
"21","27041","Douglas",  2730, 37, 37, 1445,  175,  468,  340,  245,   22,    2,   12,    0,    0,    4,    3,    3,    0,    1,   10
"22","27043","Faribault",   835, 33, 33,  399,   74,  148,  129,   60,    9,    2,    2,    1,    0,    1,    1,    0,    1,    2,    6
"23","27045","Fillmore",  1721,  6,  6,  786,  194,  344,  166,  162,   30,    9,    4,    1,    0,    0,   12,    2,    1,    0,   10
"24","27047","Freeborn",  2641, 40, 40, 1315,  205,  656,  255,  143,   28,    4,    7,    1,    0,    0,    6,    4,    1,    0,   16
"25","27049","Goodhue",  4543, 40, 40, 2178,  289,  960,  509,  492,   49,    6,   28,    1,    0,    0,    8,    1,    1,    1,   20
"26","27051","Grant",   607, 23, 23,  115,  236,   80,   89,   28,   29,    0,    6,    0,    0,    1,    5,    0,    1,    0,   17
"27","27053","Hennepin",266801,420,420,92107,10991,88560,19072,51339, 2508,  127,  734,   49,   19,   66,  532,   84,   67,   31,  515
"28","27055","Houston",  1961, 27, 27,  964,   74,  506,  189,  196,    6,    1,    8,    1,    0,    0,    0,    1,    0,    0,   15
"29","27057","Hubbard",  1824, 38, 38,  788,  196,  421,  209,  149,   28,    8,    5,    2,    0,    0,    3,    1,    0,    0,   14
"30","27059","Isanti",  2470, 19, 19, 1217,  124,  595,  292,  195,   12,    1,   15,    0,    0,    0,    6,    1,    1,    0,   11
"31","27061","Itasca",  5187, 76, 78, 1988,  879, 1001,  667,  340,  156,   13,   27,    1,    3,    3,   15,    4,    5,    2,   83
"32","27063","Jackson",   617, 28, 28,  282,   95,  107,   74,   36,    7,    2,    3,    0,    0,    0,    1,    3,    0,    0,    7
"33","27065","Kanabec",   994, 20, 20,  513,   40,  228,  106,   82,   10,    0,    3,    1,    0,    1,    2,    0,    1,    1,    6
"34","27067","Kandiyohi",  3011, 31, 31, 1496,  238,  589,  371,  236,   31,    3,    8,    1,    0,    3,   12,    3,    3,    1,   16
"35","27069","Kittson",   508, 39, 39,  158,  198,   50,   39,   28,   13,    0,    3,    1,    0,    0,    0,    3,    0,    1,   14
"36","27071","Koochiching",  1250, 22, 22,  535,  185,  212,  201,   67,   26,    4,    4,    0,    0,    1,    0,    1,    0,    1,   13
"37","27073","Lac Qui Parle",   631, 29, 29,  221,  201,   75,   71,   29,   17,    1,    1,    0,    0,    1,    0,    1,    0,    1,   12
"38","27075","Lake",  1838, 19, 19,  812,  122,  459,  211,  184,   21,    7,    3,    1,    0,    0,    4,    1,    0,    0,   13
"39","27077","Lake of the Woods",   347, 17, 17,   99,  115,   42,   36,    9,   28,    2,    3,    0,    0,    2,    1,    0,    1,    0,    9
"40","27079","Le Sueur",  1960, 26, 27,  735,  402,  345,  255,  142,   35,    1,   13,    1,    0,    2,    4,    2,    0,    1,   22
"41","27081","Lincoln",   320, 20, 20,  209,   17,   47,   24,   15,    1,    1,    3,    0,    0,    0,    2,    0,    0,    0,    1
"42","27083","Lyon",  1578, 33, 33,  616,  199,  388,  162,  150,   28,    3,    7,    1,    0,    1,    5,    1,    0,    0,   17
"43","27087","Mahnomen",   444, 19, 19,  105,  125,  124,   53,   11,    8,    2,    3,    0,    1,    0,    0,    2,    0,    0,   10
"44","27089","Marshall",   606, 59, 59,  166,  206,   74,   69,   24,   40,    3,    3,    0,    0,    0,    4,    1,    1,    0,   15
"45","27091","Martin",   900, 37, 37,  450,   50,  177,  104,   95,    7,    1,    2,    0,    0,    0,    2,    1,    1,    0,   10
"46","27085","McLeod",  1872, 28, 28,  864,   95,  482,  237,  156,   13,    1,    9,    1,    0,    0,    8,    0,    1,    0,    5
"47","27093","Meeker",  1277, 30, 30,  537,  211,  221,  164,   90,   31,    0,    4,    0,    0,    1,    5,    2,    2,    0,    9
"48","27095","Mille Lacs",  1482, 25, 25,  653,   91,  413,  196,  110,   13,    1,    3,    0,    0,    0,    0,    0,    0,    0,    2
"49","27097","Morrison",  1655, 48, 48,  706,  221,  318,  204,  109,   26,    3,   11,    1,    1,    4,    6,    1,    0,    0,   44
"50","27099","Mower",  3331, 34, 34, 1499,  317,  781,  370,  200,   75,   13,   15,    2,    0,    2,   28,    4,    0,    2,   23
"51","27101","Murray",   605, 29, 29,  270,  115,   89,   58,   31,   21,    2,    2,    2,    0,    1,    0,    0,    0,    0,   14
"52","27103","Nicollet",  4333, 27, 27, 1554,  322, 1331,  387,  638,   55,    6,   11,    1,    0,    1,    9,    1,    1,    1,   15
"53","27105","Nobles",   925, 40, 40,  344,  117,  253,  107,   51,   23,    2,    6,    2,    0,    3,    0,    0,    1,    0,   16
"54","27107","Norman",   606, 33, 33,  183,  171,  102,   59,   42,   30,    3,    2,    1,    0,    0,    3,    0,    0,    0,   10
"55","27109","Olmsted", 19930, 84, 84, 8523, 1331, 5459, 1382, 2747,  236,   12,   73,    5,    3,    4,   53,    7,    5,    3,   87
"56","27111","Otter Tail",  4165, 92, 92, 2166,  285,  801,  388,  404,   33,    3,   31,    3,    0,    0,   15,    1,    3,    1,   31
"57","27113","Pennington",   771, 31, 31,  364,   89,  193,   47,   47,   12,    1,    4,    0,    0,    0,    7,    0,    0,    0,    7
"58","27115","Pine",  2146, 48, 48,  908,  202,  468,  277,  178,   39,    5,   16,    1,    2,    3,    6,    3,    4,    7,   27
"59","27117","Pipestone",   484, 22, 22,  207,   85,   82,   55,   26,   11,    4,    5,    0,    0,    0,    1,    1,    0,    0,    7
"60","27119","Polk",  2071, 82, 82,  796,  422,  400,  171,  144,   64,    7,   11,    0,    2,    3,   10,    2,    2,    1,   36
"61","27121","Pope",   876, 31, 31,  430,  137,  130,  109,   47,    8,    2,    5,    0,    1,    0,    1,    1,    0,    0,    5
"62","27123","Ramsey",104761,169,170,34706, 4631,34498, 6928,21971,  905,   55,  303,   31,   13,   29,  366,   41,   33,   12,  239
"63","27125","Red Lake",   273, 21, 21,   70,  113,   35,   15,   16,   12,    0,    2,    0,    0,    0,    0,    0,    0,    0,   10
"64","27127","Redwood",   676, 43, 43,  344,   36,  163,   55,   55,    5,    2,    5,    1,    0,    1,    5,    1,    0,    0,    3
"65","27129","Renville",   746, 38, 38,  370,   51,  156,  104,   52,    4,    0,    3,    0,    0,    0,    1,    3,    0,    1,    1
"66","27131","Rice",  8676, 31, 31, 3212,  391, 2853,  571, 1484,   77,    4,   36,    3,    1,    3,   11,    5,    2,    1,   22
"67","27133","Rock",   577, 24, 24,  223,  134,  102,   42,   40,   22,    3,    6,    0,    0,    0,    0,    0,    1,    1,    3
"68","27135","Roseau",   712, 44, 44,  266,  142,  105,   80,   47,   23,    0,   11,    0,    0,    1,    6,    1,    0,    0,   30
"69","27139","Scott", 12921, 47, 47, 5821,  590, 3544, 1204, 1493,  121,    9,   59,    4,    1,    2,   25,    2,    1,    1,   44
"70","27141","Sherburne",  6045, 35, 35, 2794,  280, 1641,  625,  583,   47,    4,   28,    1,    3,    2,    5,    9,    0,    0,   23
"71","27143","Sibley",   794, 25, 25,  328,  115,  135,  119,   59,   19,    2,    6,    1,    0,    0,    1,    1,    0,    0,    8
"72","27137","St. Louis", 33569,172,172,14008, 1521,10147, 3412, 3740,  241,   38,  140,    7,    9,   14,   69,   17,   13,    7,  186
"73","27145","Stearns", 10892, 98, 98, 4205,  773, 3355,  998, 1271,  134,   12,   44,    3,    1,    5,   26,    7,    4,    4,   50
"74","27147","Steele",  2602, 26, 26, 1142,  156,  671,  310,  257,   21,    2,   13,    3,    0,    0,    6,    3,    4,    1,   13
"75","27149","Stevens",  1024, 26, 26,  224,  171,  370,   69,  151,   18,    5,    5,    0,    1,    2,    1,    1,    0,    0,    6
"76","27151","Swift",   795, 29, 29,  302,  192,  117,  113,   47,    9,    0,    2,    0,    0,    0,    2,    0,    1,    0,   10
"77","27153","Todd",  1135, 40, 40,  605,   59,  239,  116,   92,    3,    0,    3,    0,    2,    1,    1,    0,    1,    0,   13
"78","27155","Traverse",   277, 20, 20,  110,   77,   38,   31,    8,   10,    0,    0,    0,    0,    0,    1,    0,    0,    1,    1
"79","27157","Wabasha",  1708, 33, 33,  841,  124,  350,  207,  146,   19,    3,    7,    0,    0,    1,    4,    1,    1,    0,    4
"80","27159","Wadena",   706, 22, 23,  328,   32,  169,   60,   51,    8,    2,    1,    0,    1,    0,   51,    0,    0,    0,    3
"81","27161","Waseca",  1194, 22, 22,  616,   52,  282,  115,  106,    5,    2,    6,    0,    0,    1,    1,    3,    0,    0,    5
"82","27163","Washington", 35211, 83, 83,16269, 1874, 8827, 3297, 4251,  355,   20,  103,    5,    1,    7,   98,   17,   10,    6,   71
"83","27165","Watonwan",   774, 21, 21,  251,  170,  141,  114,   58,   20,    2,    2,    0,    0,    0,    2,    3,    1,    1,    9
"84","27167","Wilkin",   404, 32, 32,  130,  127,   55,   45,   21,   14,    0,    2,    0,    1,    0,    0,    0,    0,    0,    9
"85","27169","Winona",  5729, 49, 49, 2221,  186, 1916,  523,  773,   34,    2,   24,    0,    1,    4,   13,    1,    2,    1,   28
"86","27171","Wright",  8741, 43, 43, 4294,  395, 2053,  933,  880,   77,    7,   36,    2,    0,    2,   22,    5,    1,    1,   33
"87","27173","Yellow Medicine",   561, 30, 30,  266,   77,  111,   51,   32,    9,    3,    1,    0,    0,    0,    2,    0,    0,    0,    9
